"Year","OFL","ABC","ACL","Landings","Total Mortality"
2011,"fill in","fill in","fill in","6,149.25","6,253.97"
2012,"fill in","fill in","fill in","5,184.80","5,283.60"
2013,"fill in","fill in","fill in","3,987.20","4,050.48"
2014,"fill in","fill in","fill in","4,216.46","4,294.90"
2015,"fill in","fill in","fill in","5,025.23","5,105.52"
2016,"fill in","fill in","fill in","5,305.81","5,401.39"
2017,"fill in","fill in","fill in","5,350.64","5,465.76"
2018,"fill in","fill in","fill in","5,126.94","5,220.22"
2019,"fill in","fill in","fill in","5,193.71","5,372.81"
2020,"fill in","fill in","fill in","3,762.75","3,882.69"
