Label,2019 Model,Base (natm & Desc Fixed),"Base (natM, Desc Free)",AKSLP Desc Fixed,Base +francis1,Base +francis2,Base +francis3
Age_comp_like,2995.95,5583.4,5577.85,5582.65,3103.52,3068.58,3222.36
Age_DblN_end_logit_AKSHLF(5),-3.63971,-2.85697,-2.95844,-2.94311,-3.72295,-3.65252,-3.65346
Age_DblN_end_logit_AKSLP(6),0.0112243,-0.0926486,-0.198972,-0.065327,-0.449957,-0.497059,-0.609905
Age_DblN_end_logit_FIX(9),-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
Age_DblN_end_logit_NWCBO(8),-0.320292,-0.320292,-0.320292,-0.320292,-0.320292,-0.320292,-0.320292
Age_DblN_end_logit_NWSLP(15),0.617542,0.495452,0.262172,0.434106,-0.107841,0.0580604,0.0630134
Age_DblN_end_logit_TWL(11),-1.38018,-1.21444,-1.31404,-1.23106,-1.80759,-1.73254,-1.73906
Bratio_2015,0.359927,0.415394,0.506295,0.404952,0.500109,0.477393,0.465666
Bratio_2019,0.388847,0.43904,0.544768,0.428515,0.513803,0.490484,0.478346
CV_old_Fem_GP_1,0.110045,0.111799,0.111632,0.111813,0.114795,0.114618,0.114413
CV_old_Mal_GP_1,0.0796672,0.0805936,0.0808098,0.0805798,0.0800374,0.0804092,0.0807453
CV_young_Fem_GP_1,0.0606818,0.0596103,0.0595988,0.059601,0.0517272,0.0515116,0.0518082
CV_young_Mal_GP_1,0.0663632,0.0656735,0.0655355,0.0656867,0.0673383,0.0672575,0.0675
F_2015,0.0365674,0.0313564,0.0200085,0.0308664,0.0156476,0.0192436,0.0202616
F_2019,0.0416794,0.0314936,0.019836,0.0309676,0.015775,0.0194055,0.020491
Fstd_Btgt,0.0464376,0.045325,0.0480757,0.0453205,0.0467897,0.0445504,0.043528
Fstd_MSY,0.0748905,0.0732145,0.0776682,0.0732064,0.0753762,0.071837,0.070246
L_at_Amax_Fem_GP_1,62.6737,62.851,62.8465,62.8524,63.5948,63.4928,63.3865
L_at_Amax_Mal_GP_1,56.3704,56.3788,56.38,56.38,56.8713,56.952,57.0159
L_at_Amin_Fem_GP_1,25.1516,25.1656,25.1611,25.1671,25.6299,25.6217,25.6191
L_at_Amin_Mal_GP_1,25.5019,25.5073,25.5132,25.509,26.5298,26.5734,26.605
Length_comp_like,334.593,487.114,489.449,487.247,52.9274,42.0291,41.8113
M,0.329158,0.327901,0.32777,0.327914,0.328793,0.328545,0.328277
NatM_p_1_Fem_GP_1,0.0758634,0.0758634,0.0843484,0.0758634,0.0816693,0.0778564,0.0766234
NatM_p_1_Mal_GP_1,0.0675262,0.0675262,0.0691528,0.0675262,0.0683635,0.0647456,0.0628693
Parm_priors_like,0.445057,0,0.69987,0,0.610972,0.455477,0.401581
Recr_Virgin_millions,15.0218,15.5191,22.7694,16.1977,28.7287,22.4092,21.0032
Retain_L_asymptote_logit_FIX(1),10,10,10,10,10,10,10
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1942,10,10,10,10,10,10,10
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1942,10,10,10,10,10,10,10
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1942,10,10,10,10,10,10,10
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1947,10,10,10,10,10,10,10
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1947,10,10,10,10,10,10,10
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1947,10,10,10,10,10,10,10
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1997,2.13704,2.13144,2.13759,2.1235,2.11258,2.09857,2.09488
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1997,2.13704,2.13144,2.13759,2.1235,2.11258,2.09857,2.09488
Retain_L_asymptote_logit_FIX(1)_BLK2repl_1997,2.13704,2.13144,2.13759,2.1235,2.11258,2.09857,2.09488
Retain_L_asymptote_logit_FIX(1)_BLK2repl_2011,4.00765,4.00765,4.00765,4.00765,4.00765,4.00765,4.00765
Retain_L_asymptote_logit_FIX(1)_BLK2repl_2011,4.00765,4.00765,4.00765,4.00765,4.00765,4.00765,4.00765
Retain_L_asymptote_logit_FIX(1)_BLK2repl_2011,4.00765,4.00765,4.00765,4.00765,4.00765,4.00765,4.00765
Retain_L_asymptote_logit_TWL(3),10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1942,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1942,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1942,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1947,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1947,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1947,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1982,4.1173,3.6788,3.67731,3.68469,4.68488,4.63491,4.66665
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1982,4.1173,3.6788,3.67731,3.68469,4.68488,4.63491,4.66665
Retain_L_asymptote_logit_TWL(3)_BLK3repl_1982,4.1173,3.6788,3.67731,3.68469,4.68488,4.63491,4.66665
Retain_L_asymptote_logit_TWL(3)_BLK3repl_2011,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_2011,10,10,10,10,10,10,10
Retain_L_asymptote_logit_TWL(3)_BLK3repl_2011,10,10,10,10,10,10,10
Retain_L_infl_FIX(1)_BLK2repl_1942,25,25,25,25,25,25,25
Retain_L_infl_FIX(1)_BLK2repl_1947,38.9601,38.9601,38.9601,38.9601,38.9601,38.9601,38.9601
Retain_L_infl_FIX(1)_BLK2repl_1997,37.3551,36.9717,37.0524,36.8406,36.5252,36.2935,36.2111
Retain_L_infl_FIX(1)_BLK2repl_2011,41.7205,41.7739,41.8087,41.7759,41.8383,41.8499,41.8503
Retain_L_infl_TWL(3)_BLK3repl_1942,25,25,25,25,25,25,25
Retain_L_infl_TWL(3)_BLK3repl_1947,45.9292,45.9292,45.9292,45.9292,45.9292,45.9292,45.9292
Retain_L_infl_TWL(3)_BLK3repl_1982,48.0837,47.6751,47.6677,47.6829,48.6409,48.5945,48.5954
Retain_L_infl_TWL(3)_BLK3repl_2011,32.1994,33.5185,33.5555,33.5222,33.8177,33.7851,33.8238
SmryBio_unfished,327697,340007,454747,354888,605831,506106,488358
SPR_Btgt,0.464286,0.464286,0.464286,0.464286,0.464286,0.464286,0.464286
